Data Series,Managers & Administrators (Including Working Proprietors) - Male ,Managers & Administrators (Including Working Proprietors) - Female ,Professionals - Male ,Professionals - Female ,Associate Professionals & Technicians - Male ,Associate Professionals & Technicians - Female ,Clerical Support Workers - Male ,Clerical Support Workers - Female ,Service & Sales Workers - Male ,Service & Sales Workers - Female ,Craftsmen & Related Trades Workers - Male ,Craftsmen & Related Trades Workers - Female ,Plant & Machine Operators & Assemblers - Male ,Plant & Machine Operators & Assemblers - Female ,"Cleaners, Labourers & Related Workers - Male ","Cleaners, Labourers & Related Workers - Female ",Average,Real Wage
2001,4930.0,4736.0,4640.0,3770.0,3141.0,2706.0,1972.0,2103.0,1740.0,1256.0,1958.0,1256.0,1734.0,1148.0,1160.0,928.0,2448.625,3577.786274041857
2002,5000.0,4640.0,4640.0,3770.0,3132.0,2842.0,2088.0,2088.0,1740.0,1276.0,1885.0,1160.0,1624.0,1131.0,1160.0,906.0,2442.625,3568.015853790656
2003,5000.0,4776.0,4640.0,3770.0,3132.0,2706.0,2030.0,2088.0,1740.0,1300.0,1914.0,1209.0,1571.0,1114.0,1160.0,928.0,2442.375,3546.5271055179096
2004,4896.0,4896.0,4520.0,3673.0,3051.0,2816.0,1845.0,2034.0,1695.0,1243.0,1836.0,1224.0,1526.0,1054.0,1130.0,904.0,2396.4375,3411.0601986337856
2005,5064.0,4959.0,4645.333333333333,3767.0,3054.0,2831.3333333333335,1908.0,2084.0,1701.0,1280.6666666666667,1890.6666666666667,1239.6666666666667,1517.3333333333333,1070.0,1109.6666666666667,893.3333333333334,2438.4375,3426.7370097551266
2006,5232.0,5022.0,4770.666666666667,3861.0,3057.0,2846.6666666666665,1971.0,2134.0,1707.0,1318.3333333333333,1945.3333333333333,1255.3333333333333,1508.6666666666667,1086.0,1089.3333333333333,882.6666666666666,2480.4375,3432.589083385901
2007,5400.0,5085.0,4896.0,3955.0,3060.0,2862.0,2034.0,2184.0,1713.0,1356.0,2000.0,1271.0,1500.0,1102.0,1069.0,872.0,2522.4375,3390.331212317052
2008,6000.0,5769.0,5344.0,4351.0,3396.0,3263.0,2138.0,2353.0,1861.0,1381.0,2025.0,1263.0,1613.0,1138.0,1088.0,877.0,2741.25,3419.971929094973
2009,5934.0,5353.0,5344.0,4509.0,3221.0,3263.0,2110.0,2357.0,1832.0,1472.0,2239.0,1400.0,1658.0,1145.0,1117.0,877.0,2739.4375,3341.9117871309977
2010,6081.0,5582.0,5344.0,4617.0,3221.0,3101.0,2138.0,2420.0,1984.0,1500.0,2347.0,1356.0,1718.0,1214.0,1180.0,916.0,2794.9375,3363.946195717041
2011,7000.0,6485.0,5835.0,4879.0,3500.0,3503.0,2252.0,2470.0,2002.0,1625.0,2342.0,1431.0,1800.0,1246.0,1200.0,975.0,3034.0625,3543.7341592272624
2012,7500.0,6938.0,6000.0,5041.0,3770.0,3654.0,2354.0,2597.0,2128.0,1700.0,2416.0,1500.0,1837.0,1276.0,1149.0,1012.0,3179.5,3629.227868786966
2013,8192.0,7244.0,6350.0,5414.0,3915.0,3770.0,2514.0,2706.0,2262.0,1885.0,2533.0,1490.0,2000.0,1446.0,1276.0,1097.0,3380.875,3779.368461060502
2014,9000.0,8003.0,6766.0,5606.0,4057.0,3924.0,2514.0,2683.0,2320.0,1885.0,2514.0,1853.0,2000.0,1528.0,1331.0,1197.0,3573.8125,3882.096231938634
2015,9025.0,8425.0,7103.0,6139.0,4095.0,3990.0,2535.0,2862.0,2340.0,1901.0,2662.0,1775.0,2030.0,1624.0,1411.0,1287.0,3700.25,3943.4560813931184
2016,9304.0,9020.0,7220.0,6201.0,4183.0,4022.0,2535.0,2825.0,2500.0,2017.0,2730.0,2028.0,2045.0,1591.0,1526.0,1347.0,3818.375,3987.4842051399864
2017,9556.0,9020.0,7605.0,6338.0,4374.0,4095.0,2662.0,2936.0,2535.0,2125.0,2788.0,2167.0,2017.0,1609.0,1505.0,1404.0,3921.0,4037.9421702008235
2018,10146.0,9583.0,7605.0,6435.0,4437.0,4182.0,2691.0,2983.0,2662.0,2260.0,2853.0,2167.0,2282.0,1755.0,1635.0,1476.0,4072.0,4134.104586145369
2019,10190.0,9421.0,7805.0,6580.0,4563.0,4307.0,2779.0,3060.0,2849.0,2340.0,3168.0,2362.0,2340.0,1840.0,1638.0,1521.0,4172.6875,4172.6875
2020,10075.0,9800.0,7371.0,6435.0,4241.0,4095.0,2662.0,2916.0,2633.0,2195.0,2765.0,2106.0,2000.0,1901.0,1631.0,1521.0,4021.6875,3948.182217564494
